Country,Cases
China,"80,270"
S. Korea,"5,328"
Italy,"2,502"
Iran,"2,336"
Diamond Princess,706
Japan,293
France,212
Germany,203
Spain,165
USA,125
Singapore,110
Hong Kong,101
Switzerland,58
Kuwait,56
U.K.,51
Bahrain,49
Thailand,43
Australia,42
Taiwan,42
Malaysia,36
Canada,33
Norway,33
Iraq,32
Sweden,30
U.A.E.,27
Austria,24
Netherlands,24
India,22
Vietnam,16
Belgium,15
Iceland,14
Lebanon,13
Israel,12
Oman,12
San Marino,10
Macao,10
Denmark,10
Croatia,9
Algeria,8
Qatar,8
Ecuador,7
Finland,7
Greece,7
Mexico,6
Czechia,5
Pakistan,5
Belarus,4
Portugal,4
Romania,4
Philippines,3
Azerbaijan,3
Georgia,3
Russia,3
Brazil,2
Egypt,2
Estonia,2
Indonesia,2
Ireland,2
New Zealand,2
Senegal,2
Afghanistan,1
Andorra,1
Armenia,1
Cambodia,1
Dominican Republic,1
Jordan,1
Latvia,1
Lithuania,1
Luxembourg,1
North Macedonia,1
Monaco,1
Morocco,1
Nepal,1
Nigeria,1
Saudi Arabia,1
Sri Lanka,1
Tunisia,1
Ukraine,1
Argentina,1
Chile,1
Liechtenstein,1
